Organizar o guarda-roupa	individual_coletiva		semanal	15	3	1.45	1	Obrigatória	Compartilhadas	Quarto	
Organizar criado mudo do quarto	individual_coletiva		semanal	10	2	0.85	1	Obrigatória	Compartilhadas	Quarto	
Organizar estante do quarto	individual_coletiva		semanal	10	1	0.70	1	Obrigatória	Compartilhadas	Quarto	
Fazer a lista de compras da feira/mercado	coletiva	Planejamento e compras	semanal	10	2	0.85	1	Facultativa	Para a família	Planejamento e compras	
Planejar o cardápio da semana	coletiva	Planejamento e compras	semanal	15	3	1.40	1	Facultativa	Para a família	Planejamento e compras	
Conferir a validade dos alimentos	coletiva	Planejamento e compras	semanal	10	1	0.70	1	Facultativa	Para a família	Planejamento e compras	
Organizar e limpar despensa	coletiva	Planejamento e compras	semanal	15	2	1.25	1	Facultativa	Para a família	Planejamento e compras	
Guardar as compras nos armários e na geladeira	coletiva	Planejamento e compras	semanal	20	2	1.65	1	Facultativa	Para a família	Planejamento e compras	
Colocar mesa do café da manhã (refeição em família)	coletiva	Preparo de refeições	diaria	3	1	0.20	1	Facultativa	Para a família	Preparo de refeições	
Colocar mesa do almoço (refeição em família)	coletiva	Preparo de refeições	diaria	3	1	0.20	1	Facultativa	Para a família	Preparo de refeições	
Colocar mesa do jantar (refeição em família)	coletiva	Preparo de refeições	diaria	3	1	0.20	1	Facultativa	Para a família	Preparo de refeições	
Fazer café da manhã para si	coletiva	Preparo de refeições	diaria	15	2	1.25	1	Facultativa	Para a família	Preparo de refeições	
Fazer café da manhã para a família	coletiva	Preparo de refeições	diaria	30	2	2.50	1	Facultativa	Para a família	Preparo de refeições	
Fazer lanche para si	coletiva	Preparo de refeições	diaria	5	2	0.40	1	Facultativa	Para a família	Preparo de refeições	
Fazer lanche para a família	coletiva	Preparo de refeições	diaria	15	2	1.25	1	Facultativa	Para a família	Preparo de refeições	
Fazer almoço para si	coletiva	Preparo de refeições	diaria	15	3	1.40	1	Facultativa	Para a família	Preparo de refeições	
Fazer almoço para a família	coletiva	Preparo de refeições	diaria	30	3	2.80	1	Facultativa	Para a família	Preparo de refeições	
Fazer jantar para si	coletiva	Preparo de refeições	diaria	15	3	1.40	1	Facultativa	Para a família	Preparo de refeições	
Fazer jantar para a família	coletiva	Preparo de refeições	diaria	30	3	2.80	1	Facultativa	Para a família	Preparo de refeições	
Tirar a mesa do café da manhã (refeição em família)	coletiva	Preparo de refeições	diaria	3	1	0.20	1	Facultativa	Para a família	Preparo de refeições	
Tirar a mesa do almoço (refeição em família)	coletiva	Preparo de refeições	diaria	3	1	0.20	1	Facultativa	Para a família	Preparo de refeições	
Tirar a mesa do jantar (refeição em família)	coletiva	Preparo de refeições	diaria	3	1	0.20	1	Facultativa	Para a família	Preparo de refeições	
Tirar o lixo da cozinha	coletiva	Cozinha	diaria	3	1	0.20	1	Facultativa	Para a família	Cozinha	
Limpar a bancada e a pia da cozinha (após o café da manhã)	coletiva	Cozinha	diaria	5	1	0.35	1	Facultativa	Para a família	Cozinha	
Limpar a bancada e a pia da cozinha (após o almoço)	coletiva	Cozinha	diaria	5	1	0.35	1	Facultativa	Para a família	Cozinha	
Limpar a bancada e a pia da cozinha (após o jantar)	coletiva	Cozinha	diaria	5	1	0.35	1	Facultativa	Para a família	Cozinha	
Limpar o fogão	coletiva	Cozinha	diaria	5	2	0.40	1	Facultativa	Para a família	Cozinha	
Lavar, secar e guardar a louça da família do café da manhã	coletiva	Cozinha	diaria	30	2	2.50	1	Facultativa	Para a família	Cozinha	
Lavar, secar e guardar a louça da família do almoço	coletiva	Cozinha	diaria	30	2	2.50	1	Facultativa	Para a família	Cozinha	
Lavar, secar e guardar a louça da família do jantar	coletiva	Cozinha	diaria	30	2	2.50	1	Facultativa	Para a família	Cozinha	
Varrer e passar pano no chão da cozinha	coletiva	Cozinha	diaria	10	1	0.70	1	Facultativa	Para a família	Cozinha	
Limpar micro-ondas	coletiva	Cozinha	semanal	10	1	0.70	1	Facultativa	Para a família	Cozinha	
Limpar a geladeira por dentro	coletiva	Cozinha	semanal	15	2	1.25	1	Facultativa	Para a família	Cozinha	
Lavar panos de prato	coletiva	Lavanderia	semanal	5	1	0.35	1	Facultativa	Para a família	Lavanderia	
Lavar panos de chão	coletiva	Lavanderia	semanal	5	1	0.35	1	Facultativa	Para a família	Lavanderia	
Cuidar da roupa branca (lavar e secar)	coletiva	Lavanderia	semanal	20	2	1.65	1	Facultativa	Para a família	Lavanderia	
Cuidar da roupa colorida (lavar e secar)	coletiva	Lavanderia	semanal	20	2	1.65	1	Facultativa	Para a família	Lavanderia	
Cuidar da roupa escura (lavar e secar)	coletiva	Lavanderia	semanal	20	2	1.65	1	Facultativa	Para a família	Lavanderia	
Dobrar roupa branca	coletiva	Lavanderia	semanal	15	2	1.25	1	Facultativa	Para a família	Lavanderia	
Dobrar roupa colorida	coletiva	Lavanderia	semanal	15	2	1.25	1	Facultativa	Para a família	Lavanderia	
Dobrar roupa escura	coletiva	Lavanderia	semanal	15	2	1.25	1	Facultativa	Para a família	Lavanderia	
Cuidar da roupa de cama (lavar, secar, dobrar e guardar)	coletiva	Lavanderia	semanal	40	2	3.30	1	Facultativa	Para a família	Lavanderia	
Trocar a roupa de cama (áreas comuns)	coletiva	Lavanderia	semanal	15	2	1.25	1	Facultativa	Para a família	Lavanderia	
Limpar o vaso sanitário	coletiva	Banheiro	diaria	5	2	0.40	1	Facultativa	Para a família	Banheiro	
Limpar a pia do banheiro	coletiva	Banheiro	diaria	3	1	0.20	1	Facultativa	Para a família	Banheiro	
Varrer e passar pano no chão do banheiro	coletiva	Banheiro	diaria	5	1	0.35	1	Facultativa	Para a família	Banheiro	
Repor papel higiênico	coletiva	Banheiro	diaria	1	1	0.05	1	Facultativa	Para a família	Banheiro	
Esvaziar a lixeira do banheiro	coletiva	Banheiro	diaria	2	1	0.15	1	Facultativa	Para a família	Banheiro	
Limpar o box/chuveiro	coletiva	Banheiro	semanal	15	2	1.25	1	Facultativa	Para a família	Banheiro	
Limpar o espelho	coletiva	Banheiro	semanal	5	1	0.35	1	Facultativa	Para a família	Banheiro	
Organizar o armário do banheiro	coletiva	Banheiro	semanal	10	1	0.70	1	Facultativa	Para a família	Banheiro	
Organizar a sala (manhã)	coletiva	Sala e áreas comuns	diaria	10	1	0.70	1	Facultativa	Para a família	Sala e áreas comuns	
Organizar a sala (noite)	coletiva	Sala e áreas comuns	diaria	10	1	0.70	1	Facultativa	Para a família	Sala e áreas comuns	
Varrer e passar pano no chão	coletiva	Sala e áreas comuns	diaria	15	1	1.10	1	Facultativa	Para a família	Sala e áreas comuns	
Regar plantas	coletiva	Sala e áreas comuns	diaria	5	1	0.35	1	Facultativa	Para a família	Sala e áreas comuns	
Organizar mesa(s)	coletiva	Sala e áreas comuns	diaria	5	1	0.35	1	Facultativa	Para a família	Sala e áreas comuns	
Tirar o pó dos móveis	coletiva	Sala e áreas comuns	semanal	15	1	1.10	1	Facultativa	Para a família	Sala e áreas comuns	
Limpar janelas e espelhos	coletiva	Sala e áreas comuns	semanal	15	2	1.25	1	Facultativa	Para a família	Sala e áreas comuns	
Organizar estantes e armários do rack	coletiva	Sala e áreas comuns	semanal	10	1	0.70	1	Facultativa	Para a família	Sala e áreas comuns	
Limpar interruptores, maçanetas e superfícies de toque	coletiva	Sala e áreas comuns	semanal	10	1	0.70	1	Facultativa	Para a família	Sala e áreas comuns	
Podar e limpar plantas	coletiva	Sala e áreas comuns	semanal	10	2	0.85	1	Facultativa	Para a família	Sala e áreas comuns	
Regar plantas do quintal/jardim	coletiva	Área Externa (quintal e jardim)	diaria	5	1	0.35	1	Facultativa	Para a família	Área Externa (quintal e jardim)	
Varrer quintal, garagem ou varanda	coletiva	Área Externa (quintal e jardim)	semanal	15	1	1.10	1	Facultativa	Para a família	Área Externa (quintal e jardim)	
Podar e limpar plantas do quintal/jardim	coletiva	Área Externa (quintal e jardim)	semanal	10	2	0.85	1	Facultativa	Para a família	Área Externa (quintal e jardim)	
Organizar objetos guardados na área externa	coletiva	Área Externa (quintal e jardim)	semanal	10	1	0.70	1	Facultativa	Para a família	Área Externa (quintal e jardim)	
Alimentar e trocar a água do pet	coletiva	Pets	diaria	5	1	0.35	1	Facultativa	Para a família	Pets	
Passear com o cachorro	coletiva	Pets	diaria	20	1	1.45	1	Facultativa	Para a família	Pets	
Limpar a caixa de areia/local do pet	coletiva	Pets	diaria	5	2	0.40	1	Facultativa	Para a família	Pets	
Escovar o pet	coletiva	Pets	semanal	10	1	0.70	1	Facultativa	Para a família	Pets	
Lavar as lixeiras periodicamente	coletiva	Lixo e reciclagem	semanal	10	2	0.85	1	Facultativa	Para a família	Lixo e reciclagem	
Conferir e repor itens de limpeza	coletiva	Área de Serviço	semanal	10	1	0.70	1	Facultativa	Para a família	Área de Serviço	
Organizar armário de ferramentas	coletiva	Área de Serviço	semanal	10	2	0.85	1	Facultativa	Para a família	Área de Serviço	
Organizar armário da área de serviço	coletiva	Área de Serviço	semanal	10	1	0.70	1	Facultativa	Para a família	Área de Serviço	
Separar roupas pequenas ou que não servem mais para doação	coletiva	Fora do ritmo (mensal)	mensal	15	1	1.10	1	Facultativa	Para a família	Fora do ritmo (mensal)	
Organizar o armário de remédios/primeiros socorros	coletiva	Fora do ritmo (mensal)	mensal	10	1	0.70	1	Facultativa	Para a família	Fora do ritmo (mensal)	
